nation,gender,race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Germany,F,Black,A,121.91710301258631,-87.59507155207739,-25.286001086832975,D,D,133.17613431606648,A,A,-53.912593178637394,-201.25434491113262,-112.97181198063886,-82.19099513488928,52.917647414138344,0
UK,M,African American,C,69.72476707854813,66.74585112854572,160.05495087003044,E,A,50.97460538409979,D,E,-82.80840874537279,-96.95371017844667,100.23353785540299,-19.514088971092196,-4.248132205177188,1
US,M,African American,C,-6.665907349601522,49.33442253153039,-87.2303795152983,E,B,110.18714305622996,B,A,-71.52399442384596,26.92706815643458,7.110287973583819,-0.39525537954232554,-9.647407595937118,1
Brazil,Male,Asian,C,130.7661212301457,55.494211003669335,31.272495732469675,B,D,-189.12108754146877,C,C,-151.95973764171055,137.63218859506856,-17.41917726510995,-43.81237080268935,22.33289085629604,0
Mexico,M,Black,D,30.304753671609603,60.850373978873606,124.6022724642542,C,B,179.6949527861882,C,E,-187.0135595831205,-152.30633907111826,-64.3138722175965,-22.743384982466345,24.52607734604781,0
China,Non-binary,White,A,66.81805199420408,164.23057564738107,76.89682320692917,D,C,-58.64989930676837,B,A,-108.99994019861256,96.02872586607116,14.917176721073783,-15.788707021219484,64.9100604584348,1
Mexico,Male,African American,A,-180.21749792679134,18.368101218003964,-5.021346537117797,A,C,-37.544284515237905,E,B,154.3264125069246,-216.47280481633607,-120.15737089446345,-11.474612421661291,-197.95089663124023,1
UK,Non-binary,Asian,C,59.450488668007374,60.02662751396839,115.27619008164145,D,D,-87.06509575737384,B,E,74.67902313027437,5.097145527507903,71.67937737736167,-238.00553152482874,76.53658406642789,0
Germany,Female,Asian,C,-26.630384766216892,242.14754602771023,-115.846851119519,C,C,-173.92898300272765,A,D,-41.41327779915574,26.780002796565324,119.58187452244418,-98.5009465447434,-11.483850757769225,1
US,Female,African American,E,127.24092248855376,56.200502440900244,-4.302914923305845,A,A,-14.912593442882502,A,C,-5.099779283962155,191.41180413420227,80.34379713227821,180.55016050047308,-169.94249459846043,1
Brazil,Female,Asian,D,-19.414718117923353,17.285057680818664,3.749277670182722,B,A,-12.120077442854802,B,C,25.85549715912558,106.00765866036679,86.13326827504109,40.148243020414284,20.930529125282256,0
UK,Female,Black,C,-22.845990004842054,-4.295631568651916,-57.38292890071075,D,A,-54.82115232243155,A,E,17.306532104748577,-34.01835552942151,49.39656628078918,-52.9413379633215,-32.49842785487561,1
Brazil,F,Other,D,-178.0279424134306,21.420499564290136,-114.17883435020089,A,E,157.18315373287402,B,A,-30.02174706203251,35.656860745787355,-9.629178592089497,-67.41723778480487,-97.43081002602422,1
Mexico,Female,African American,E,-7.631543171455105,195.1496865110639,-136.13466887437212,E,A,-86.45153787323669,D,B,-36.71702445034653,36.22323214687115,126.75266854177669,75.59271669974449,-9.960181516544857,0
US,Non-binary,Hispanic,D,-12.514396146220916,83.46970350340086,44.0179341265131,B,E,-79.08920370085639,A,A,199.51785901261127,-56.27746839705436,19.40986739429163,28.372834329993402,155.18363606891043,0
US,Other,White,C,74.34061159617093,-164.2730101183624,86.81157747735513,A,E,-6.030718961176369,C,D,-64.9391392574414,-3.285103924863799,4.870265784140413,48.734424320041406,238.7803084498731,1
Other,Other,Black,B,-2.915059141045162,2.756073877349511,171.24420167520884,B,D,40.02591957477566,B,E,-102.04149925240822,-20.18044230190048,182.39167981990565,-2.527842638925148,0.45593783681551636,1
Other,F,African American,B,-102.88427795696845,80.42631968443031,-9.374662611862073,C,A,-68.78093591255397,A,D,-58.00184850691862,164.47164289786753,12.53653971696364,-35.98134676879772,-95.47937131765038,1
India,M,Black,B,125.95495655206699,24.69215195580309,58.618189337000274,A,E,-31.1852189534254,C,B,-184.5356514148091,-63.69531032461397,-48.85040136347845,-120.8724058767537,50.322893701445835,0
Other,M,Hispanic,A,89.3523365892874,70.46411469941218,15.50204945437826,A,E,176.826485068955,B,A,125.42893334553756,-131.94255267252743,-117.02653207699738,9.38570235672457,-63.72699550198537,1
Brazil,Female,Black,B,-180.09988791698558,132.29888426260197,36.92135959889583,C,A,139.78451084423688,C,C,-141.9921995844926,-73.09262621079256,106.96199898030991,78.73667894367094,1.9107697896086133,1
UK,Other,Asian,D,-72.75866526553112,-70.61942359187923,-5.3716722961669285,E,E,-109.87420126686406,C,D,201.3325068983975,106.69838932787441,122.85044340843896,53.18731547802683,106.43923025499798,0
UK,Female,Other,D,-71.13083974041155,3.1785108766437613,172.98874008807172,C,A,-27.55364704477084,C,C,-66.58266665181532,187.84024509836024,-67.36787884920412,-92.14956023566738,-154.3530787357907,1
India,Female,Other,A,-21.77044221811846,-87.37088458501589,56.58825585654906,C,A,38.61802369462088,C,D,142.35401319053648,122.78479587558067,8.715051237041175,-40.63568194812329,-67.39680997650163,0
India,F,Hispanic,E,141.1723945534971,21.347063551876804,69.36859070824455,C,B,14.745184955362268,C,B,44.13931915780652,-69.52998629346745,-93.98782162272742,-182.42143130997576,-106.41268257639969,0
Brazil,Other,Asian,D,-68.5206100734138,38.14298593458654,112.25640738644627,C,B,109.77681663440772,A,E,85.99846668232242,-46.69895460486744,133.00766221861784,-38.85849947415573,89.12387188685015,0
Mexico,F,Black,B,48.84566316460369,373.5606752740255,-51.33043161648225,B,C,-98.90409601783746,D,C,93.8131239421615,-34.43756574765874,27.078569289322633,-80.06084506659022,-126.3182686774042,0
Brazil,M,Black,A,96.17338951961834,-129.47196250412648,14.189911909072556,C,C,-132.24122491195968,C,D,17.95422318142757,282.08276841509826,73.30230607032067,-105.07673336758162,-186.6359101863198,0
Germany,Other,Asian,E,171.21441224308805,27.523034820249954,-63.68509819883747,E,C,112.28730327818252,D,E,-142.18229308419822,30.670441308570695,-168.94437739634273,-20.88434775619358,140.9427306501298,1
US,F,Other,E,-146.14615081936861,-25.4463149922118,-30.953046372659752,D,E,118.09771448031734,E,B,-2.9895193065802594,-135.44434406437568,-8.371261087560079,-73.65198567344932,-120.57738248683792,1
Germany,Female,White,E,130.22709416945574,-94.71672326630025,-110.78350238413503,B,B,-42.414049115364946,B,B,-20.536793486262848,-47.39631875677223,-102.16497114748304,2.463467690929147,-19.679581043121896,0
UK,Female,Black,A,-90.3436502522604,-8.725382416878542,-22.263234085650062,A,E,142.49716924725354,A,A,-195.38883940998863,43.80099499881051,-11.024763931026216,-25.758697916700633,3.1623702905476723,0
Germany,Other,Other,B,136.3764033909036,46.83675698937596,-125.5085124749268,E,C,-160.9933907713039,B,B,311.21933462246903,-29.363879004815587,32.934560938617196,-52.96228056424207,40.21755555181012,0
China,Non-binary,Other,A,88.77629851860496,-57.84550392684938,-22.313378106589628,E,D,52.61215100087213,E,A,-213.31724620355646,-11.883735361616187,-119.02836391572131,-222.20680258723644,-13.109876372824223,1
UK,Other,African American,B,8.45251981680112,25.362958732227405,63.73790055062351,E,D,0.6115541398318957,E,C,-22.93025155214302,-15.222168764502362,-27.07554437532006,-1.9111213401829081,-248.86473361191915,0
Brazil,F,Black,D,133.31771100924448,-57.86707280046771,27.699690473043336,E,D,-103.38347041707591,E,A,131.81616047237694,54.221451672818255,-39.04557479534599,125.88049151728865,57.14881372696043,0
Brazil,Other,White,E,15.247683437557944,68.94445635003919,-117.49519316659864,E,D,-30.691418199565206,C,D,-171.3199359134679,78.32845096308925,-107.28349596392368,-34.21661916690811,172.20536686986563,0
India,Non-binary,White,B,100.14497829138091,75.04802024291641,-61.01745465224639,C,E,52.57981916127245,C,B,134.86060076390626,-124.39093691103558,-44.883908373693345,-37.477522527283824,65.79909562980248,1
Mexico,F,White,E,25.255454972750467,-104.70026374869632,77.7372853913342,D,E,-125.09280651657684,B,C,179.31816513236114,-183.65957419265234,-40.054001388673626,-45.07622677689167,-100.79142674259785,1
US,Female,White,E,-86.6242131135052,84.5124109170404,-41.00483044371316,E,A,59.47497191197304,B,C,-59.600540576613405,86.47815699903153,-82.9324617060172,54.60325902865605,42.783208702954866,0
Brazil,F,White,D,55.50197877490689,-106.18271246848983,-37.71784333614981,B,B,-160.70269784319075,C,B,-106.31311340305112,52.374764466024004,174.74385110209974,106.70566253668785,-51.21987082071981,0
Germany,M,Black,C,-7.28215588417363,27.05477154531451,-93.87030760279337,D,E,-102.49910787491201,B,A,38.16377783934896,63.30592331555947,29.477468420268675,-42.34917942540448,-219.6785975082736,1
Mexico,F,Black,D,33.68483234552917,-48.07316981334636,68.54582450036439,D,B,-41.84185233015667,E,B,39.58352876979623,36.689439796048234,45.87499749509064,81.39941053967807,-106.34843746226868,1
India,Male,Other,C,92.92821223396093,3.8974159412526537,137.45873217908328,C,A,-65.67039513364024,C,A,-45.731008270942674,162.28215943548267,-41.227146852472636,80.99601608516467,68.86283430434243,1
UK,Female,Hispanic,E,-83.94282193518623,-115.7148502469973,-105.84120396373422,E,D,60.921855260694436,C,A,33.67806835878312,66.65395309967795,-41.209539637575745,-81.5676861257507,170.45111635032714,1
UK,F,African American,A,-87.00293042396798,75.47141411092284,96.59803680878761,C,D,27.095669885805556,E,D,75.60939906880655,-122.04813276374873,91.93579413280841,212.59216047659865,106.58770606053469,1
India,Male,Black,D,143.59552733289047,-31.059965867096313,-49.065730848633024,B,D,-131.42539573176208,B,C,-28.76303793149023,52.804006074568264,-132.82362511010717,-144.10268313675328,89.319218419832,0
US,Male,Hispanic,E,92.07526323193241,70.8481072642417,-58.646571603640396,A,C,111.18996055271676,B,E,-128.63455039575095,-41.14698884229278,16.85354782227252,-69.4294522977468,-137.60204983458527,0
US,Other,African American,E,131.7350594781666,68.50987494645446,202.48570838092368,C,B,-77.90364193204977,A,C,111.70020458239141,36.611568337271194,-74.76696935048139,-101.2094228953148,46.653683363784594,1
US,Female,African American,E,55.64680912143726,-161.15506438873962,115.60015735162375,C,A,-144.3080539015543,B,C,-74.01835630351266,51.14557046784116,-110.9102953001742,-93.95012886208913,286.4201320325449,1
Mexico,Non-binary,Asian,B,105.25092332840073,-32.97247932853775,61.271028610895726,D,B,15.382903522555353,B,B,275.74233157798835,-5.489523093857604,13.29463802379744,-4.807505694485284,-40.962876873200926,1
UK,M,White,B,46.2937533428853,-307.1654694241752,-20.563854076666665,D,C,208.7300803844515,C,C,120.60948925545354,-4.396960460904538,75.10071649707584,-20.317889065880994,16.66942105061357,0
Germany,Male,Asian,B,-11.50258729564932,-157.26894262772385,-5.409317927721467,C,B,-166.75024053741913,E,D,39.97762923986311,-35.61896257001476,-21.327727378596368,-158.13851435251988,172.27573693405202,0
Mexico,F,Asian,C,88.6518240992252,-253.48275701454764,-50.946428096784956,C,E,-77.46216239681183,C,C,57.91411994935844,15.279941740173744,15.793462906192756,-88.08718119800852,14.008954712875981,1
Mexico,M,African American,A,60.13335885857397,-115.02009498050192,-11.159828181568505,C,C,22.753692187859915,D,E,71.87590258215744,83.984288883275,-51.71288901056111,-110.34710864290338,-38.53027360481296,1
Brazil,Non-binary,Hispanic,B,8.515830024434925,-73.72990939734895,-11.653695896145292,E,A,41.60270239144072,D,C,86.50655410636398,110.1051322652995,78.51404165925841,-72.18622631781328,-13.272130574855053,0
China,Non-binary,Black,A,-121.97126979640065,-23.819082613063706,72.45400034018905,B,A,36.755843887756576,C,E,52.93421728651365,-148.3396490737823,26.226138509827372,58.94006128366057,-26.866550051238423,0
China,Other,Other,D,34.49392199380468,-188.0810016521357,-12.90704499386729,C,B,169.31093282780037,E,C,23.1538046972995,83.12712388477766,-47.46190608703886,-4.535980424632617,-90.08098631872669,0
India,M,Hispanic,B,-81.88667306928737,-183.1719652709991,-57.87908717865368,B,A,-101.12486897739979,C,A,-59.516044083414464,99.37874375270171,14.987640654938295,-63.17793297349957,194.94251804731437,0
Brazil,F,Other,B,-60.8836972967865,70.95824926629471,37.66265140151395,E,D,-99.9979835148337,D,C,-50.159884335869705,152.82141180016268,-5.187316222898432,-12.938154251009998,-113.21360032452148,0
China,Non-binary,Asian,C,-55.0036791640652,253.95970695594855,219.23228567164475,A,C,32.25105455499923,C,D,-56.06171737153688,-74.48679652421828,64.34915881493008,-66.43022436008069,-149.42170746642626,0
China,Male,White,E,-32.390394529357685,96.0104347474323,6.950743362610945,A,E,-105.7848185249762,E,B,-35.2731109810251,-48.750811107460564,-113.39657606107903,-109.76681406764257,15.145456865712372,1
Mexico,Male,White,E,44.46445266088441,18.90784079465368,5.296046891657031,C,D,-22.075737637561136,C,A,6.981660783598365,45.55200948500063,182.90427579073227,91.3142983646155,-78.44580291842273,1
Brazil,Male,Asian,A,34.400552506431985,3.15263782444766,-57.20014732565816,E,E,-60.21976879425751,D,A,24.656569240804764,-71.73774548337678,56.64228012161787,-33.43828247550834,-98.14841789175053,0
UK,F,African American,A,-2.7326498978599756,-7.856303582347997,27.194400902620252,B,D,33.557412557184385,E,B,80.59637162364378,80.09253139111931,30.7994140026502,112.5668390522591,82.78527617474732,0
Mexico,M,Other,E,-151.3767207703974,37.12592488434916,-11.867837099768474,D,A,-34.06465936722407,E,E,125.3619884170766,-34.93004268345503,-55.9399815659524,106.64093076631771,-88.09292371980395,1
US,Female,African American,E,-62.658714232156065,34.31371935290781,-102.2925357659984,E,D,-135.42550283898368,E,A,-31.854916566694445,107.04721638757657,142.69359796605664,-66.03803236111953,39.395441399303714,0
UK,F,Asian,B,-196.4637225237288,-133.59153490069804,79.08748132610921,D,D,22.062514926747458,A,A,-34.22708231532859,-9.693168958079331,165.85983438026744,119.56049706972101,32.78741417984565,1
Brazil,Non-binary,Asian,C,-64.8096240682217,6.821714388546509,-9.86712504638052,E,E,163.61820324963827,C,A,51.9340112977696,-46.20925264875269,54.09869879130065,207.8937463388638,67.0144746817282,0
US,Female,Hispanic,C,5.98694127079101,4.1109388504261375,102.24299653995229,B,B,-107.86347957637128,B,C,-190.1151686373622,25.848715525847695,27.01758926845144,76.18501364093743,-28.021667304101044,0
US,Female,Asian,E,-39.64987546691308,5.727963811000538,-39.008671125459216,D,C,75.25267338816501,C,B,-209.86558052312296,13.382296892147641,-146.56898066045864,-70.63495893803302,-13.695616499012669,0
Mexico,Male,Asian,E,33.856875430912226,34.82080906441121,10.269173532486539,D,B,59.340304672507735,E,E,69.09898970752135,194.61905167714536,-90.99606161609731,46.082419969438156,-143.6063538088732,1
India,Female,Other,C,-10.92332074063331,28.433981778278543,-36.22464903793329,E,C,46.99196643408203,D,E,-65.94211898538359,-81.24322020413514,-126.87336827724178,-130.9126452587323,150.57688123608256,1
Germany,M,African American,A,-115.94764750355566,221.56254313007824,28.163059945766744,C,D,76.38751564411713,C,E,60.26673218519741,114.40810555943663,70.41115898356577,17.531966424452346,146.23515809532668,0
UK,Female,Black,A,19.288245953990295,-19.39960958660869,-24.463335801180737,A,A,-200.07320691771557,A,B,-0.40841078268522857,-46.21016122138752,8.642449968490745,-5.173049559615411,35.39863302232536,0
UK,Other,African American,A,-132.1391326720472,54.50991808215287,134.6786634656923,A,B,168.80458170577518,C,D,35.80275676533335,-35.19644315417638,94.89724603111979,-33.52883160267815,9.459249339573649,0
Other,Other,African American,B,131.2843276722388,62.150788584174165,19.161708574833376,A,E,-206.66438175457515,D,A,175.86965270333712,-54.995001172079625,25.855795618378835,45.276014840966965,-89.48843943060626,1
US,Non-binary,African American,E,-12.925012581171327,-59.369702950883685,-77.4140686676536,A,C,-69.16611093929455,A,B,39.46320075323844,-149.97310961578108,-1.454064593935394,-21.627862323962084,68.7851497135797,0
Mexico,M,Hispanic,D,6.68373700847666,-98.04775230169143,-75.86575928899504,A,B,-192.9157921142303,A,B,189.91053030245678,52.13997759225594,-23.235724976403983,33.56548330748649,14.495972336047716,0
Other,Other,Black,E,-80.01383151595685,-79.03548019103658,10.024977791421824,D,A,-93.04707220421763,C,E,-51.68965252864176,-24.575644255590607,25.2675951375194,-80.01882388954135,-122.7179698563865,0
Germany,Other,Black,B,-140.25171560469792,3.2773226799497484,44.183771750784715,C,D,101.850258876929,C,D,108.12978588238992,60.545786633308616,201.48748746052902,-82.91061221558054,-57.38587569695248,0
Mexico,Other,Asian,B,59.54397650990242,-193.6923999350786,-48.177811284420144,C,B,49.07575227375818,A,B,119.27849235232225,-2.5604777728244072,47.66145215977557,28.91208488964295,40.99734261472652,0
Brazil,M,Other,B,-43.250397785073595,-12.912060846763552,-172.13795617787125,C,D,-67.11527031921558,C,D,-140.521906065986,-30.891168087452254,-118.8542902182085,171.49256135486408,-113.18231157392218,1
