handicap,AGE,military,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Physical,87,Veteran,Germany,C,B,49.55584137349223,E,D,45.74163904130247,-109.23651211068017,160.17545507387663,C,A,1
Physical,92,Non-Veteran,Brazil,C,D,-69.45995105207963,D,D,-131.52135387958123,-10.11332844804104,-100.4273480548064,E,B,0
Yes,69,Veteran,China,A,C,49.33711248295517,C,E,-4.7655965011991,75.27198545050273,51.41875065783228,E,C,0
Both,93,No,Mexico,D,C,-245.19832950740667,E,C,34.233999480944135,138.35092426611024,-67.15513696268374,C,E,1
No,24,Non-Veteran,UK,A,D,31.565621056387776,A,A,-89.55324922520586,86.35500864210847,-17.162142741728303,D,D,0
Yes,35,No,US,C,A,173.1732662551973,B,C,113.1374490335298,-42.6917132787225,42.63252767435667,A,D,1
No,99,Non-Veteran,Germany,A,C,82.35462206994377,D,E,54.80207987414779,-102.83007168805112,-59.51873281381405,D,E,1
No,45,Yes,Other,C,E,48.91083421220777,E,D,13.832884576833473,-67.27884779569993,-118.56354209611433,D,A,0
Physical,97,Yes,China,A,C,57.10980484229135,A,A,59.6902863715834,2.763288730319366,-14.47735717733251,E,A,0
Yes,21,Veteran,Other,A,E,11.721025378646742,D,A,118.88791273323687,200.6413813015195,10.051044982897917,A,E,1
Mental,23,Veteran,Germany,D,A,92.14885307572342,E,E,-26.095442013548652,-133.41749082377564,-35.12283353359701,B,E,0
Mental,81,Non-Veteran,US,E,E,-1.0913516285013805,A,C,-248.8346140174921,43.71847140119569,114.21455035983897,E,B,1
Both,30,Yes,Germany,A,B,-45.553170267154606,C,C,97.89292711829084,94.3655441752457,-34.42853976791905,C,D,0
Mental,20,Non-Veteran,US,D,A,53.028798880859455,C,D,23.377571342236937,124.68789591715476,-30.334369269184613,C,B,0
None,70,No,China,A,C,-84.5286865903823,A,E,17.975948500209597,65.40644976463349,4.836656548813783,E,C,1
Physical,26,Yes,India,E,A,95.0370997110804,D,D,122.77235465214515,-79.24939326782923,-72.81603963315023,E,D,1
No,61,Yes,UK,C,A,-100.86626684463398,A,A,283.5335245720583,234.85189241199578,-28.78791789664899,E,C,1
Mental,82,Non-Veteran,US,D,C,78.74751794797703,D,E,-23.626288113371455,92.87894039783066,12.690128421873073,A,A,0
Physical,32,No,US,D,A,-13.17929794322448,B,E,129.1313769546878,-102.21400876278199,-47.09634243881159,E,E,1
Physical,64,Veteran,UK,C,C,-10.352595948921039,D,C,39.611920110050335,70.88050171850202,266.1321459433169,E,D,1
None,83,Veteran,China,B,D,60.77296536624544,D,E,152.08676282710755,31.694061186425195,-14.860213050207467,C,B,0
Physical,78,Veteran,China,C,A,18.839789168324934,D,E,65.49011151407609,2.0869220664363803,-31.867822479518022,D,C,1
Both,45,Veteran,UK,A,E,-107.79150245767906,D,E,226.2638713613531,15.096016802764458,126.47562687347119,D,E,1
Physical,18,Yes,Brazil,E,B,-84.43930950345052,B,D,-65.41626669124534,-15.715535411347888,-35.57962457379294,A,E,0
No,62,Non-Veteran,UK,B,E,70.92358702281052,B,D,-38.29749504929943,-77.99085986033205,136.59065731576675,D,E,0
Mental,81,No,Brazil,A,D,140.88344280634993,A,E,-70.5015465719669,77.38886054636353,44.59998893076856,A,B,0
Both,48,Non-Veteran,UK,A,D,-116.86370543422086,B,A,8.736104183084883,233.62502158506695,-80.1875801086573,E,E,0
Mental,63,Yes,China,D,A,-153.2851698960002,B,C,54.559834094335436,-4.904904099387622,-0.6146277103938088,C,B,0
Physical,74,Non-Veteran,India,C,E,193.9527349902293,D,D,25.85117369926507,62.30316532812667,59.694423263674565,C,A,1
No,92,Yes,China,E,C,60.44649643902963,A,B,-195.6534347963142,33.581983813441425,-85.6112595677954,E,C,1
None,52,Veteran,Mexico,A,A,79.38993489001602,B,D,43.707141952800086,-57.182203183148715,14.370479703441589,B,B,0
No,95,Non-Veteran,Mexico,D,C,83.34434758901527,B,D,-188.03575323168673,42.22920836989801,38.70696154366337,C,D,1
Both,86,Non-Veteran,UK,B,B,42.63020185609639,D,E,-85.47593314075796,-77.40989191314141,-22.746759868301066,D,C,1
None,54,Veteran,UK,B,A,-230.00052265820042,E,A,79.94269817380234,166.28435533494846,164.68000565967938,B,D,1
Physical,50,Yes,Brazil,B,A,118.69341203193532,B,E,81.10072165561213,-46.37109224743892,88.24499891817169,C,A,1
Physical,88,Yes,Other,C,D,-26.88927553496296,B,E,-55.83672312592203,-32.147499595187135,139.8099768260475,D,A,0
None,38,Non-Veteran,UK,C,B,23.370960630877768,B,D,22.905714455948473,-70.95329160552481,45.642687519696985,B,B,0
Mental,71,Veteran,Brazil,C,A,77.83678612573905,A,D,-22.452657093504904,89.11816074288083,19.9168606327699,C,A,0
None,24,Non-Veteran,China,C,C,-91.24737045857762,A,D,5.271956513121708,-70.52285703651823,-47.212562151434945,A,D,0
Yes,48,Veteran,China,D,B,-118.4092042385267,D,C,-149.88344913251456,-12.719376111626293,-159.31022340909442,B,D,0
None,30,Yes,Brazil,C,D,20.1167204537997,D,D,118.57578399170947,126.63418297946407,23.47447599844645,A,C,1
Mental,36,Veteran,UK,E,A,-31.950060147019254,C,D,22.594290636528864,-90.5581743183264,127.27365550138106,C,C,0
Physical,59,Yes,Mexico,C,A,95.82848821333978,A,A,-129.37082236914296,-159.03014040894698,94.84850904878444,A,C,1
None,21,Yes,Other,D,C,115.48167348736105,A,D,-109.37540851128635,-142.52652343942742,18.528528431383727,B,B,0
No,26,Non-Veteran,Brazil,C,B,18.872595441460234,B,B,30.31116800978507,-18.99210489352771,65.8184327195929,C,C,1
Physical,76,No,China,B,B,-12.543319624195437,E,A,23.5673666615616,23.43448062369426,7.693183582966137,B,A,1
Yes,20,Veteran,China,D,C,-123.92211736465508,E,E,63.03824608818055,-36.19855166877131,158.7862110857778,A,E,1
Both,66,Non-Veteran,US,E,C,-96.8542374494379,C,B,11.844527474766817,52.034662146248245,2.04833992571856,C,D,0
No,37,Veteran,Mexico,A,C,56.47297480069619,C,A,-124.79496934699942,312.2897349702695,170.27643075413428,D,D,1
Mental,68,Veteran,Germany,D,D,-29.397842662939045,A,B,-93.52014930556341,-86.91742964677938,-90.543323709802,D,A,0
No,94,Non-Veteran,India,B,E,30.41428780334335,D,A,-106.5330265706094,181.6816329750075,-117.92838110014058,E,A,0
No,23,Yes,UK,D,A,-183.18635610320194,B,D,24.069387159145332,-181.30643850764204,-132.93184873122985,B,D,1
No,18,No,Other,B,B,76.78632439227113,E,B,-198.45064134538646,69.35246685477844,-76.48387490083948,C,E,0
Yes,97,Veteran,Other,A,E,140.55908441006463,D,D,-67.41504872783379,-53.17880259882932,102.51558685890407,D,A,1
Physical,96,No,Other,D,A,22.14920461137917,B,E,3.3865837820362072,-16.239540481697425,-146.27943892991928,D,A,1
Both,72,Non-Veteran,India,E,E,-13.966334303922356,C,A,-186.46888039363222,-62.481059981141094,73.89953369488352,D,E,0
No,48,Veteran,China,A,A,-16.010630380335503,A,B,-48.23528834780954,88.30566029720322,142.31756910369248,A,E,0
Both,30,Yes,Mexico,B,D,60.67696179949533,A,C,-60.78134116885593,10.431548904715926,116.02438854454802,B,D,0
No,50,Yes,China,C,D,-37.59769909374773,A,D,-44.70669908684025,-45.96769334556019,-41.365577509418685,E,E,0
None,85,No,India,B,B,-55.440005849277355,A,C,-89.90647142254781,-28.7417148152932,30.648365048465546,D,E,0
No,90,Non-Veteran,Other,D,E,-27.23952511129018,A,C,-133.89078122466438,42.37159738639568,-130.595886135024,A,B,1
Mental,92,Yes,Germany,C,D,185.69112962973276,A,A,-41.232236878771836,152.05103213701588,-82.0662045233182,B,B,1
None,24,Yes,UK,C,D,-79.06764567080575,D,E,-43.226796203771514,-105.70159055102428,-7.549239050261265,B,A,1
No,63,Veteran,India,C,D,19.28330420138472,B,D,75.10220353855617,-81.77107594775894,-23.696153042280326,D,B,1
Yes,25,No,US,E,A,-205.45456283407705,E,C,-122.72090950232833,-8.329384577279155,-88.22916763761516,A,C,1
Mental,59,Veteran,China,B,B,143.3316140986359,A,B,-44.32652493520081,183.40984262776294,73.10138668064415,D,B,0
No,23,Yes,China,E,A,94.72271107303195,E,D,185.55245718148126,17.025817477901228,86.53559122943064,A,E,1
No,62,Veteran,Other,E,A,138.0734612421118,B,B,-82.9809663041672,175.91396403514437,-25.184427588177368,A,E,1
Physical,62,Yes,UK,E,A,-112.21669555540186,E,D,-102.13702471247043,-86.16902189432156,148.2966420975597,B,A,0
None,41,Non-Veteran,Brazil,B,C,-38.16770089473492,A,E,-17.255289186367335,-102.99931924050189,35.796684925249345,D,A,0
Both,48,No,Mexico,E,A,-189.700749430963,C,C,-111.15658663954176,-93.65682102876424,-21.629403261886523,B,D,0
Mental,20,No,UK,A,B,14.738718585702076,C,E,70.98652667163941,-50.32421385974401,151.83375705839396,B,A,1
No,45,Veteran,Germany,C,A,61.878575902002034,C,C,33.910577094842346,59.074171915931274,-25.911846890088437,C,B,1
Physical,99,Yes,Mexico,D,E,-110.80041514250425,E,A,37.46714936127392,-155.42021966623932,-62.19860030841817,D,E,1
Mental,44,Yes,India,B,D,204.27543269165778,D,E,80.82264503691742,238.74817232660126,-170.9656662600677,D,C,1
No,20,Non-Veteran,Other,A,E,-40.067339383275666,A,C,163.90971049053093,93.16484081569708,44.70633929465077,E,C,0
Physical,89,Non-Veteran,UK,A,C,-197.58502479027112,D,E,-15.886022761473855,-20.088261458148274,54.14357511991953,B,B,1
Physical,91,Non-Veteran,China,B,D,-60.899641029180906,A,A,-27.428408454364963,48.60233460076872,44.523387539088084,E,B,1
None,65,Veteran,Germany,D,E,65.417773616096,A,D,8.004584987712748,-150.67269978962256,-219.72452216209146,D,A,0
No,91,Veteran,UK,A,C,13.992981597068699,E,A,-98.99243008841196,86.41539547253225,83.96904363474344,C,C,1
Both,32,Yes,China,A,E,-10.686119324346986,D,A,-98.93761385889354,-118.29048097266362,-135.2654367956089,A,E,1
Physical,49,Veteran,Germany,B,B,-50.64162808263012,D,B,-53.75650668623039,-50.40406872914721,35.427184293415124,B,E,1
None,68,Yes,Other,B,C,-106.11827265421834,D,E,-38.93530573710801,-117.3905305715973,-38.39454311830017,E,D,0
Physical,66,Yes,US,C,B,-16.758716598031747,D,C,165.47445918687654,80.22633764368628,-174.3800599302075,A,A,0
Mental,51,Non-Veteran,UK,E,C,41.27334661988956,D,A,18.623507896022375,-129.58800788263866,-159.27722737568303,E,A,1
Yes,69,Yes,Germany,E,E,-126.3890038066894,D,A,-20.4119036292904,-18.94200990627562,-84.271364362147,E,B,1
Yes,69,Non-Veteran,China,B,A,-72.31167832388594,B,B,-55.7987432414935,-44.12925652291755,78.84337857821583,D,C,1
None,96,Non-Veteran,Other,A,C,249.33832621368012,C,D,179.9113205924532,5.76939913267965,178.25926319528472,C,C,1
Yes,71,No,Germany,B,B,76.18780687084927,C,E,92.92843151352899,51.007014105098506,-21.48568383781392,E,D,1
Physical,98,No,India,C,C,63.66771210079385,B,C,170.77584637717308,114.69242362315595,-62.16943508258777,A,D,0
Mental,57,No,India,D,E,87.62137026458691,A,C,7.6066479804452305,153.16872370529154,-75.93795227361176,A,B,0
Both,42,Non-Veteran,UK,A,E,-140.7598791446694,B,A,120.6445154584449,114.8510487191062,31.573717801752476,B,B,0
None,37,Yes,China,D,D,74.30888353347464,B,E,-140.55809760675126,119.56097290078651,-142.6924467500137,A,B,1
No,96,Yes,Germany,A,D,-31.15519175493548,B,E,34.318805483098046,10.048109409452737,187.4910276296948,C,C,0
Both,70,Veteran,UK,E,B,-211.80095144719152,D,E,-51.019197695047104,-24.086466532508986,-13.334052419111364,A,B,0
None,38,Non-Veteran,India,B,A,54.50691556255488,B,A,22.083495330460053,-15.5531289158103,75.39771403623126,D,A,0
Both,46,Yes,Other,C,D,57.63383025124119,B,C,-226.17015836182856,1.8650798883889133,-59.542625156974694,D,E,1
Mental,80,Non-Veteran,Germany,B,D,8.64135125088243,A,B,1.4607220142479267,-58.6185871457663,81.41099915498843,B,A,0
Both,32,Veteran,China,A,E,1.4930278893040834,C,D,-19.76351499418281,-17.415069607916973,-27.032043576860744,D,A,0
No,91,No,Other,E,B,98.82715800458021,A,B,-98.4667355298873,-189.79980572538142,44.01324676221341,B,C,0
Mental,42,Veteran,UK,E,C,20.832640438637068,A,D,-175.4855200135059,52.967627109336576,-16.078371111528323,D,A,1
Yes,79,Yes,India,D,A,-12.847576139677392,D,C,67.40320408687947,-6.482630677699658,-12.525809731083182,C,E,1
No,68,Non-Veteran,Germany,C,D,-41.09336130248666,A,E,51.8216197375706,-160.42443129165557,-30.308127657961307,B,E,0
Both,38,No,US,E,A,-104.23475040287047,A,D,53.97317569522397,-182.20873402483082,23.571447684521406,B,C,0
Yes,53,Non-Veteran,Brazil,B,E,127.59113699239644,A,E,-23.5251098346031,-3.068519085725108,31.027797353051206,A,A,1
Yes,25,Yes,China,E,A,44.67036319122013,D,D,49.3766658411498,-65.19935545759421,-149.26633851897654,C,A,1
None,75,Yes,Germany,D,D,77.66544137746084,D,C,97.13255454496516,-24.796890033490534,302.85145294816675,C,B,0
Yes,76,No,Other,B,B,57.30761804496586,A,D,194.7043837896159,-22.180231334345816,44.87339571995099,C,D,1
None,30,Non-Veteran,Other,E,B,-125.72873275236161,E,D,64.64888460184228,-38.983592946702636,32.74340611128723,D,D,1
Mental,96,Non-Veteran,UK,D,C,195.63275862184716,E,E,-108.5535751689693,106.13277124606472,-118.44271038790157,C,C,0
Both,30,Yes,Mexico,D,B,113.69501930883237,A,D,30.40225392568105,-310.87727207968794,87.07545497893709,A,A,1
Physical,20,No,Other,A,D,196.97342862746666,C,C,105.0337290052137,13.892584585927203,-16.500982975134722,A,B,1
No,25,No,US,C,A,62.857488548630826,A,C,74.1617542477294,8.477786246065024,-32.701878779199994,C,D,1
None,25,No,US,A,A,107.9924152489802,A,D,-13.589344745492394,1.9487304965244219,153.84093836431916,C,D,1
Physical,27,Veteran,China,C,D,22.95276399661702,B,E,15.77674596367562,83.78329950462692,-46.60915721152287,A,A,1
Both,43,No,India,C,B,77.64617109683165,E,A,61.960979835703824,-96.20539104839933,-9.737158478190723,E,B,0
None,87,No,Brazil,A,E,-20.06118546643933,E,A,-81.5940493463778,-79.76747734210099,136.55181602571955,C,D,0
None,58,Non-Veteran,US,B,C,-77.83204398722734,B,E,-20.48886435254058,-31.149769883346814,32.67323096651032,C,B,1
Physical,77,Yes,Other,E,A,27.118680013656306,B,D,30.529373833074118,-59.21595258000353,-116.98422165110065,D,C,1
Mental,47,Non-Veteran,Other,C,B,31.602929126884767,C,C,-83.37029694068767,92.27249257208435,148.85570682034336,B,D,1
No,73,Yes,Mexico,C,E,-85.86609668204169,C,B,65.76695043971426,17.868915672972992,-79.40467681589858,D,E,1
Physical,77,Non-Veteran,US,B,D,68.42393510300573,D,B,51.203239559270486,8.15265438982741,-258.62123352502147,B,C,0
Mental,52,Yes,Brazil,C,C,128.99764288127915,E,B,-171.2092837866943,-115.29880132543138,23.96474777253439,C,A,1
Both,66,Non-Veteran,Mexico,A,C,-278.4780976356083,A,C,15.52312295469728,-154.6654220926137,-102.28781244085113,C,D,1
Mental,84,No,Brazil,E,A,78.80968034093237,A,C,25.282080430022862,-21.299619842062913,98.94693151851646,C,C,0
No,57,Yes,Other,E,D,-76.801261140599,E,E,10.991915840311757,-175.96797216325413,-180.4663411496678,E,D,1
Mental,80,Non-Veteran,UK,D,A,212.25279047328073,C,E,130.1517916573501,145.54584216400568,-64.64562355741438,A,E,1
None,32,Yes,UK,B,B,19.014222520442324,A,A,-5.410471041799774,-41.00663351548059,-120.34061030611144,E,B,1
None,91,Veteran,China,D,C,95.49212203569154,B,A,11.36194039216163,-118.54781265372367,109.15816146558997,A,B,0
Mental,36,No,UK,E,E,16.443640219718628,A,A,-23.794873054087653,-93.60582030992575,16.02295700525541,A,B,0
Yes,88,Yes,Germany,A,A,59.75552374207794,A,B,15.287810612531622,-13.17808387738633,-27.271789765788352,E,E,0
Both,40,Veteran,UK,A,A,-161.40962936571012,B,C,237.5819334532314,160.79495131591722,-50.125541311582666,B,D,1
Both,92,No,China,D,E,-68.68480887315698,A,D,20.553782902042176,132.15069471616917,122.3732139551585,E,D,0
None,85,Non-Veteran,China,E,C,-11.921256129737733,A,B,-95.96521510128329,79.84518078308005,-101.0402129848691,B,D,0
Physical,61,No,Other,D,C,59.11780644043868,A,B,-101.79888145780869,63.60389321377974,-168.65017999841234,D,C,0
Physical,29,Yes,Mexico,E,D,19.820399127678975,A,D,-68.62151705165887,-58.05862915747523,-28.689475795601556,C,A,0
Both,56,Non-Veteran,India,A,E,-99.07953364069793,B,D,5.888830052952968,95.70464508137249,97.66333518823448,C,C,1
Physical,76,Veteran,UK,B,A,-133.29740856664444,A,B,-184.53290404255148,107.49590489022654,39.95492666090497,D,C,0
Physical,69,Non-Veteran,UK,D,D,49.78148128623117,C,D,31.43884524694116,-47.801130162649365,-35.075751338014605,A,A,1
Yes,57,Non-Veteran,Germany,C,E,-121.09254158888665,E,A,-100.15721902226453,-182.33129412961983,57.273214706019196,A,D,0
Yes,88,Veteran,US,E,B,46.00943142290729,A,C,28.32761402734945,-79.1244447963488,138.59798894255334,C,D,1
Mental,80,No,Brazil,A,D,40.17823740262679,C,E,76.12130043890714,34.30558567135963,-83.93236574091851,B,B,1
Mental,48,No,Germany,C,C,118.10018647648258,E,C,137.18399603010027,187.84845818922554,43.1848062165816,C,B,0
None,23,Non-Veteran,Mexico,B,B,102.46195891404612,C,B,307.3615838535114,55.645997842326146,-134.93644356511578,A,C,1
No,30,No,Brazil,E,E,-149.66370529598137,B,B,132.84183253000074,-26.57701605811153,-64.96409730298566,B,B,0
Mental,88,No,US,E,B,-231.2456633288469,A,E,123.83192291647246,30.668917015573467,-80.34212267688893,B,D,0
Both,71,Veteran,India,C,B,116.64666096438145,D,E,-10.680458821967223,-182.19367747357506,168.12622268798586,C,C,0
None,87,Yes,Other,E,C,-10.933239601915524,D,B,8.30370579346001,-96.44322160441192,130.99754030096273,E,A,1
Mental,59,Yes,China,B,A,38.85618082507061,C,A,-136.38260349254847,-70.92837373779881,-173.00014919978653,B,A,1
Physical,20,Yes,India,A,B,40.27051056000422,B,C,27.45099286684718,-84.04010785641803,48.620222275987665,D,A,1
No,28,Veteran,Mexico,C,A,104.78803919666038,C,B,77.61543506790579,-16.180275944886336,-98.52910285047518,A,D,1
None,22,Veteran,Other,C,E,-113.84311009548244,B,B,-79.56855673805968,267.4779410569531,124.98131216626822,D,A,0
Mental,33,Veteran,US,B,A,-50.060463270585466,E,D,-115.99535920001883,26.22104425755845,-149.64456750588198,A,D,1
Yes,52,Veteran,Brazil,A,E,203.43360829908406,D,D,-84.98421324768363,-14.482369177433036,37.05158280737397,D,C,1
Yes,34,Yes,Germany,D,D,-87.492294060699,B,E,-27.327952437947694,43.51497095720035,69.24654962474214,B,D,0
Mental,70,No,US,C,D,-186.80209739552745,A,A,135.9996425711354,44.85809859581791,-81.87886333697082,E,D,0
None,79,Non-Veteran,Other,D,D,109.99229147439851,B,A,-53.793919360943235,32.40530074419376,54.32137431952215,A,E,0
Both,20,Yes,Germany,C,D,31.983237749146117,E,E,-65.63832255107224,-209.8254832624303,-96.17785789167826,E,D,0
Physical,66,No,Germany,C,E,-19.421405324562876,E,C,-53.602175324657374,102.16807892581895,-171.72113560595585,D,E,1
Yes,83,Veteran,Other,D,E,-77.67826357946129,D,A,-41.91365920110827,111.24430565041123,-79.8601009087811,B,E,1
None,40,Non-Veteran,Germany,B,A,42.588716968631246,A,D,92.38407679320811,84.18666883305168,-54.96348375953723,B,C,1
No,92,Non-Veteran,China,C,B,74.46411526619613,D,A,-56.87031500969736,61.14650822013709,-19.163057479048444,E,A,1
Yes,18,No,US,D,B,-93.21510883850685,B,B,-52.413957063884475,-83.83334869649573,5.086466053808329,E,E,0
Both,25,Veteran,UK,D,C,122.15062432944723,B,D,-32.88508360535347,12.557073730739404,61.90675150450097,E,A,1
Physical,72,Yes,Mexico,C,E,-7.030178155316048,A,C,-22.77063421601572,-93.97984750336644,-74.01497392458809,E,B,1
Yes,52,Veteran,Other,A,E,50.40842527188061,B,D,-113.56703104667606,-132.37940836596357,193.6728813371359,A,D,1
No,38,Veteran,Other,C,D,48.873436396807364,C,B,-60.15358027382581,-45.32810400285575,-39.12193009513735,D,A,1
None,30,Yes,Mexico,E,C,139.67187440007078,C,D,-27.618322831865832,-101.09143639780562,103.43170515631681,B,A,0
Yes,20,Veteran,US,D,B,-138.43666684011657,E,D,-133.1574504137854,56.92299624454783,53.64172746326078,E,A,1
No,30,No,India,E,A,-2.6150878665206245,C,C,50.04005951041183,-70.15494571633634,60.05382175327766,D,B,0
Both,24,Veteran,US,B,B,-30.764814222583887,B,A,81.74822962591371,-53.900808124372034,-93.79450443802986,B,A,1
Physical,71,Yes,India,A,D,-198.65088696284982,E,C,35.4568521026774,90.99615667649974,-77.9787928952691,D,C,0
Physical,72,No,India,D,B,-107.18076969170724,B,A,-66.45001198644157,-97.36989811709765,-192.2553860050552,E,E,1
No,94,Yes,Brazil,D,B,-76.56344443119836,B,D,11.037251684352686,145.67836436921277,118.52741177743525,B,E,1
Mental,93,No,UK,E,A,-113.72238192416988,A,D,78.86284050445843,17.039214450815905,-152.7615803305668,C,A,1
Physical,93,Yes,India,D,C,-65.42079048467748,E,C,89.9849706552476,219.08253190116054,69.11652923313368,E,C,0
Both,97,Yes,India,D,A,312.1608610900037,B,B,155.82671986203601,56.26409203119679,-142.92820925315286,A,A,0
Both,95,Non-Veteran,US,B,D,131.91323914980484,E,C,156.0634730384947,99.3003904633026,-37.1206306026721,C,C,0
Both,70,Non-Veteran,China,E,C,-117.97280874092422,E,A,41.66194282396422,121.56522971370669,-80.2121203350768,A,C,0
None,75,No,Mexico,D,E,57.38649785967495,D,C,-57.31314574484661,-232.88475477485116,62.83597611405648,C,B,1
None,78,Non-Veteran,Other,A,C,37.066722627244324,B,D,-14.028819777713291,-100.21346206014461,-205.97965670710033,B,D,0
