nation,birth_year,age_range,Gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Germany,40,26-35,M,B,A,D,1.0016035875227893,87.89859063458911,A,E,C,-145.60671711792904,10.54176576174898,D,151.18155136473092,1
Other,48,51-65,F,B,C,B,-56.878710588639755,-104.80064901696299,A,B,B,-69.12423620411991,58.61659960368083,D,-120.54949404403843,0
Brazil,42,26-35,Male,D,B,D,93.71304789977863,-156.91380902603547,B,D,B,-21.34109197687329,-129.57736529297406,B,99.36426872792505,0
Mexico,26,36-50,Non-binary,E,E,A,48.80451299107061,271.9877249606523,E,D,D,53.70302733688034,-101.19704578264195,D,172.2712022918034,0
China,43,26-35,F,A,A,B,88.21343439690493,26.5849146287447,B,A,A,11.082280883393363,85.32413201274603,D,-35.82669887134978,1
Other,22,18-25,Other,C,C,B,-2.9508019881205594,-9.213912526011512,C,B,B,-123.15068145250589,-36.47645611584392,D,-124.86238158198142,0
US,67,36-50,F,A,D,A,80.2347796324356,107.74040743661905,B,C,E,-0.6183907668981012,4.9428272494046,A,147.66222841997063,0
UK,63,26-35,Other,C,D,D,-76.58850749004186,-73.49756205421738,E,C,A,32.42730096646469,40.62892253809873,B,-100.91984546050436,1
UK,77,36-50,Female,C,E,C,-67.79184475396518,62.722557255719295,A,C,C,-140.32842462203362,-89.05684254355873,C,164.82316690041924,1
India,59,65+,Other,D,A,A,-51.94730742986413,-41.19494990055467,C,B,B,-45.65328322460721,107.2331529183961,D,1.255697934550474,0
Mexico,29,18-25,M,C,B,B,-50.97853334948862,-10.166074100938381,C,D,E,44.91108500358562,38.28341114284955,B,38.792902767626465,1
Germany,23,36-50,F,A,D,D,-100.67358238239427,-68.07078383156298,D,B,A,-41.69875189088575,-179.952430839781,A,-39.543262378785684,1
Mexico,20,65+,F,E,C,D,183.0771201570086,17.86288132881898,B,A,E,45.68543401561336,26.32445511921093,A,50.16330448935161,0
US,62,18-25,M,D,A,A,11.917432527169435,-61.77509280418455,B,E,B,-12.50821985523122,134.23059805729903,C,120.95146951878013,1
India,20,18-25,Non-binary,B,D,C,74.35553502482726,-36.04092205075228,D,C,A,98.54068149016179,66.21387503657394,D,64.29865297989181,0
China,25,65+,M,E,D,C,-32.77245783133459,-77.15434910090623,A,B,A,-164.0927492184124,32.56204800751686,D,13.566825779732817,1
US,64,36-50,F,B,A,C,231.94800836754067,-164.97960997998516,B,A,D,128.67940164902737,154.04675012470966,D,-131.03229329356162,0
UK,68,18-25,M,D,E,C,19.838446630679208,94.70156890616094,E,B,C,-18.45784227051826,170.40766276069212,E,101.924723420001,1
US,56,36-50,M,B,E,B,-131.7224799244586,-134.73655919708435,A,A,E,108.82894854738645,-39.883808040787414,E,115.86254419121589,0
Mexico,37,65+,Male,A,B,A,-72.43908065161409,-39.547092857969695,B,B,B,162.67360358619118,-56.15759576714451,A,-74.5759406669294,0
UK,65,51-65,M,D,A,B,-187.02743289959415,-49.22617541605943,C,A,D,-20.004390517230824,274.6480993137057,B,151.41736484542807,0
UK,44,18-25,M,A,C,C,-34.18780761842005,-179.01870134701443,D,C,B,-34.35332673034005,-240.8631748465377,B,37.5883209140615,0
China,36,18-25,Non-binary,C,B,A,-43.67491735265082,187.11558489804972,B,E,D,57.29370722217557,27.406783841482067,B,159.43691059840813,0
China,21,26-35,Non-binary,B,B,B,-55.65519180914345,-104.85115270907512,A,B,B,74.81918400577163,-95.69711790195203,A,20.03719505284699,1
Other,33,18-25,Other,E,B,C,-5.930725343692398,-38.360427539856346,D,D,D,5.18158743040351,217.88676991435753,A,28.53694567765518,0
Germany,18,65+,F,B,E,B,30.680999069115373,-69.49805742991491,E,D,B,-86.3818240479065,136.06735841452695,D,160.49593806036953,0
Mexico,78,26-35,Male,B,E,D,44.43953819583778,-182.4032939664731,C,C,B,87.43746223482721,22.7523995496205,E,-10.222453227791119,1
India,44,36-50,M,B,C,C,72.51910436762998,-68.88006320564597,C,A,D,-81.05616273505149,83.73505221092188,D,-215.65707895152096,0
Brazil,30,26-35,Male,B,E,E,65.58158193341092,187.17767941082445,C,B,A,-36.412319313135576,63.769613949038664,A,-118.78356660069306,0
China,20,18-25,M,C,D,D,-34.17850894821101,27.212965300154004,B,E,C,8.938105899155497,-233.94793167446707,A,59.16652725773866,1
Brazil,27,26-35,M,C,D,E,30.271239042218934,12.894087710575752,D,A,C,90.03079286419413,2.8433760217812503,B,27.44836444405699,1
China,21,65+,F,C,C,B,-112.02205980063088,79.76447158823295,C,E,D,-34.52928654577769,-98.55539276937422,B,-63.31846399292406,1
US,29,36-50,Other,E,D,A,-128.66775460613223,73.52580658052766,D,D,E,77.0161610369223,40.28482748431722,B,51.248236524936964,0
Germany,63,51-65,Non-binary,B,B,D,51.424974411875,-26.222817734577696,D,E,E,-47.15965198428484,114.58336318118035,C,-183.48231731286816,1
Germany,68,26-35,Other,A,B,C,145.77578978874638,50.99984898543914,A,A,D,-171.22326098827418,30.83320240493988,C,-167.40333904533034,0
UK,30,36-50,M,B,A,C,-211.93699611066216,48.52721528029786,C,E,C,-0.3380085199776044,-7.019191117148018,A,-57.74626876247788,0
Brazil,53,18-25,Male,E,D,C,-26.356345653027063,41.245691816012005,E,A,B,-8.684391659219322,-25.22667166292292,C,142.5044994318964,0
Germany,18,65+,Other,E,D,C,202.17284569633728,29.25056184672891,D,E,D,-9.805212723611415,-174.18249723583708,D,-67.3833525146144,1
Mexico,75,51-65,Other,A,E,A,27.243845358877433,127.3377580195632,C,E,A,-116.45239746133215,-106.73629077289483,C,-93.78015826037229,0
US,34,26-35,Non-binary,A,A,D,-102.17296381003224,64.32653154026455,C,C,B,-14.156737349551376,-14.418694256014092,A,-18.300193186018305,0
Other,32,36-50,Female,C,E,B,83.48517005386202,12.846339307752997,B,C,E,-4.748570359863232,-161.04117871049695,D,-47.490632295497406,1
Mexico,22,36-50,F,A,C,A,28.3138172170876,293.4776513500316,C,D,B,-119.64997897104108,7.069372939904857,D,-29.983889607506022,1
Other,43,18-25,M,E,B,B,-149.73225560386086,-2.850004458965317,C,E,C,-82.03890203881376,17.550033227027928,B,-33.599288381160015,1
China,51,65+,Female,E,C,C,21.042038830855343,-41.47649331582725,E,E,A,30.695467361359157,20.403841361288016,D,-109.04350092750263,1
Mexico,34,65+,Female,D,D,E,75.06677504228347,43.87050820491069,A,A,A,-194.18536323202082,80.0346982379689,C,156.711234584059,1
China,59,51-65,Female,E,A,E,-29.259058184208715,-112.22898710157953,B,B,B,5.493513478422198,-131.1041931403342,B,-21.57333209836651,0
India,75,36-50,Non-binary,D,A,A,-140.036806858155,-165.27550174889737,C,A,E,-6.2202130168881125,86.19707415416251,A,63.13920147060671,0
India,22,18-25,Female,D,B,A,17.713639424196828,-103.31243655175126,B,E,C,85.14703659580275,167.5997542558703,A,48.69159386350119,1
Other,42,26-35,Male,C,A,E,153.00177615169267,53.121343945080845,B,E,D,0.2376606665067596,-130.9531147121148,A,-23.78879820779375,0
Brazil,31,36-50,Female,E,A,C,155.48180954384154,-120.78225005380602,D,A,B,148.13412975418254,60.03591175462306,A,-119.89916359035627,0
Germany,54,18-25,Non-binary,B,E,A,77.22074918495896,-12.459919474791615,E,D,E,-83.157296416988,127.74544303853897,D,-26.07213274205878,0
US,31,51-65,M,E,D,C,-93.42503489257209,-37.63546265910347,C,C,D,173.41926205334613,-57.06317352661225,E,59.77016505543706,1
Other,27,36-50,Female,C,E,C,114.39211949072872,61.44524688622557,E,A,A,-62.20259251590243,72.46503481673955,B,66.78572503872647,1
India,70,18-25,M,C,E,A,-62.31426626546176,99.73653958462056,C,B,D,24.056038916531584,60.34365170785962,A,-15.164558560017987,1
UK,30,26-35,M,D,B,A,23.423367292255648,-166.93735422838415,E,E,E,-11.022757579203331,-86.42440004932925,C,198.4626886491864,0
US,61,65+,F,B,C,D,-1.6214913688235595,128.64165656775612,A,C,B,268.7697321405844,157.11487011603415,C,-73.95160314101949,0
US,25,26-35,Male,E,E,E,-48.76276506030571,88.14196359707978,E,A,D,154.17346930617697,-30.44670168817128,C,-108.32707772183983,1
India,78,51-65,F,B,D,E,-43.699734465764934,127.01125427854836,C,C,D,-45.38493111601603,-11.894826164346114,C,-82.73471489154272,1
India,43,18-25,M,E,E,A,147.97467008502343,-103.81536315564426,B,D,D,-146.35127362979452,46.77233733647281,A,65.60048514756353,1
UK,35,26-35,M,D,A,E,130.57542321425763,93.6652030752974,E,E,D,-38.727181333292705,65.16095858310618,E,112.96477191255494,0
Brazil,39,18-25,Non-binary,D,C,D,66.2880214933644,-47.31223236342642,A,A,B,-126.86905598410823,-156.16061253819913,C,226.18834333474004,1
UK,76,18-25,F,A,C,D,42.0016667200039,49.23788573179467,E,A,E,87.13346613638006,140.46028313805115,D,-48.5271949015622,1
Germany,52,51-65,Other,C,D,B,68.64787982314924,15.178185491951151,E,B,C,8.171921576800719,-89.73739330487192,B,125.8693248025774,1
China,26,36-50,Male,A,A,E,-164.7402107173123,193.32574395828934,E,B,E,-233.95483170416279,-71.22023769869375,B,240.13654875613906,1
Other,61,51-65,Male,A,D,A,7.918503736197241,36.45130693325231,D,C,D,-1.3472644017541744,50.14781564233767,D,8.488053681054646,0
US,65,36-50,Male,A,B,A,50.08921953355262,-55.014315669905976,C,A,B,-28.11400071514121,72.13385217061534,A,14.169214292124451,0
US,59,18-25,F,C,E,C,109.49008524903422,134.81335272265304,B,C,A,-97.72799732793881,189.34461097241373,E,263.71032275217317,1
Germany,43,51-65,F,E,A,C,31.823693238269435,-7.566193482014663,D,B,A,78.03784426090459,-84.5843632681184,D,-108.4062256703143,0
Germany,62,65+,M,E,D,A,-128.9443481080065,118.9083134842272,A,D,C,-76.01057291226697,67.43649203340155,C,-149.75581225089337,0
US,68,18-25,Male,D,E,C,-10.784158511995722,133.53542116366108,A,E,A,-88.86364434459276,-275.17190536707466,E,29.398782227027414,0
China,64,51-65,Female,A,D,E,-38.45679301174939,73.15170947135962,C,B,A,122.00528338183778,182.85504042545497,D,-16.52756927484407,1
Mexico,28,65+,Other,A,D,A,7.363322797021858,132.98964833399194,C,C,B,-57.544517956180485,-68.53397685435698,A,-82.18220749254742,0
UK,73,26-35,M,E,D,E,36.42589888134245,-89.08362226959677,C,A,A,-144.18603945818296,-3.274842845933003,B,54.61716440085892,1
Mexico,31,36-50,Female,B,D,C,-54.61312110992756,1.4796700652224624,B,E,D,35.330148543586844,11.111624655870322,E,224.22875266194276,0
India,57,18-25,Male,E,C,B,-129.4715556581595,-173.56090674963906,C,D,B,84.04899267265633,-129.15688664756752,E,-104.57511975753826,0
India,27,36-50,Male,C,D,E,51.962423410201595,-102.43293037083023,C,D,E,-185.64529906611565,-57.75712517096915,D,20.257279451376352,1
India,61,65+,Other,A,E,D,45.98907422748789,-61.33385544515511,A,C,D,100.07228445095598,-37.58432754033528,D,155.31624243765683,1
Brazil,41,51-65,F,D,B,E,81.30864148908266,125.59038459094438,D,A,D,165.29158514003285,8.22219783508241,B,61.92506357825507,1
Brazil,52,36-50,Female,A,D,C,77.46886272559368,0.12582627865982657,E,C,D,188.8764196236559,-35.63068754771863,B,89.63517234960501,0
Germany,18,36-50,M,E,B,A,-226.42373373324526,61.356379479426046,C,B,B,-30.801830185706702,-106.23410123722023,A,-46.28052846610578,1
US,45,65+,Non-binary,E,B,E,-100.1408922509867,-128.4248625764458,C,A,D,-55.67282800554195,36.729168436875874,C,75.53420965417352,1
US,35,26-35,Non-binary,D,E,C,44.13234806108095,104.06654552951326,C,E,A,73.33541755808668,116.19261353886465,A,-141.1175440472926,1
Brazil,25,26-35,Other,C,C,E,77.99778585238403,35.21812179641509,A,A,E,34.20684146236746,205.5071033205976,C,-23.017094232027784,1
India,57,26-35,M,D,E,B,132.62157766033474,-20.24426928237954,D,A,B,-43.921752699681704,155.9898349540432,A,-197.06083535304603,1
UK,72,51-65,M,D,C,D,-131.63654760317021,152.8313770521997,A,E,A,149.4340314394528,-123.42375334569016,D,-53.69440459122593,0
Brazil,61,51-65,Non-binary,D,A,C,-26.462377533136888,111.41287127081895,C,E,E,-5.915421331227196,-4.529013669107316,D,-12.624850790574834,0
US,49,36-50,M,B,A,D,160.97661416984758,79.17403341061893,C,B,E,26.419905116819514,120.88421877235338,A,36.07762936624416,0
US,59,36-50,M,D,D,A,36.45335160143412,-4.691919095501371,C,C,E,-110.59940049791146,-198.53535874763966,B,14.274414081725094,1
China,26,18-25,F,C,D,E,-168.1861933622605,107.56130042821923,C,B,D,19.687539423973664,125.6529699140831,E,-95.63885614857853,1
Mexico,25,65+,Female,B,D,A,-16.22799603866625,-133.61311852671616,D,A,A,26.185271678454857,61.14963335145551,D,-304.33496676679323,0
Germany,56,65+,Non-binary,C,A,C,-183.3256561305083,-96.49668768998372,B,C,A,-79.09047874207965,-208.96821390778638,E,5.513546172714644,1
China,63,51-65,Male,E,A,D,62.489450192802586,-42.423060516837005,D,B,E,-20.532756747569355,-4.738267686534517,A,29.552533238880024,0
Germany,36,26-35,Non-binary,C,E,C,231.6612309623731,-76.56652798513288,A,A,D,-86.59095689683666,64.54010081423297,D,311.8827057949335,1
India,78,36-50,F,D,A,B,62.75188084803447,-53.067190290615976,A,E,C,149.48993856962113,-76.10997985747407,E,188.30230462446556,1
US,79,65+,Other,A,A,E,137.04277278455535,-23.92242603947238,D,C,A,165.07054372665246,8.275846862622394,D,45.90773067149975,1
India,41,65+,Other,B,C,B,115.94226534994738,58.01774853273748,D,B,D,-26.777185535854812,144.95200774652756,B,-49.91840223405023,1
China,59,26-35,Male,E,A,D,-106.82074417006926,167.08285343637903,E,C,C,33.36666462199689,-15.929000065541294,D,110.69535709465544,0
US,54,65+,M,D,D,B,50.884516728934045,35.67785743583281,A,E,C,132.69383623422328,-77.33570479657322,C,-16.10369840310937,0
Brazil,30,51-65,Male,C,A,C,14.330201967187373,-62.5917368551319,E,D,C,38.03143547043588,-89.15494194046374,A,68.71583232797538,1
Mexico,41,65+,Female,D,B,E,-58.850199334800934,-99.00461946419534,B,C,B,-127.90675260717302,-144.51614865797458,A,66.98995133964542,0
US,39,65+,F,B,E,C,38.118396063437814,20.271620808202837,E,E,C,-32.15649785041225,-73.84781872379914,E,5.314229998384212,1
India,27,65+,Female,A,C,B,144.0471615030359,-147.24974686412543,B,E,B,0.3955956166884965,-119.96745983551595,D,-65.63337242769393,1
Other,25,26-35,M,A,A,D,159.32201140900324,-115.86822197297653,E,E,E,10.636612077300478,-51.446181683765936,C,213.43825039688497,0
US,59,26-35,Non-binary,C,E,E,-97.93222229202956,-106.51857397870236,E,D,E,46.45033860826068,61.417871903360556,A,70.86463048457678,0
Other,78,18-25,M,D,C,A,-31.92869876408472,-87.24785073216333,B,E,D,29.346231914233506,232.9436373873456,D,31.50608875486932,0
Mexico,29,26-35,Other,C,C,D,-124.67909846312008,57.53973931427372,E,C,E,39.04296754089534,10.519034312001528,A,-192.0302528709917,1
India,38,18-25,Other,C,D,E,-208.87071964122836,101.42190241133014,E,C,B,-79.03834776787792,-103.63084451817677,D,-74.27520182630657,0
Brazil,18,26-35,Non-binary,C,C,D,160.87339950937823,-46.77721107938909,A,C,D,146.04063127695747,84.23089185214589,C,92.71665389569765,0
US,47,51-65,Female,C,D,B,112.26897131273084,64.831304619841,D,E,B,52.423846528213794,38.7862034475067,E,-193.8736530348249,0
China,43,51-65,M,D,B,B,4.5357365615125875,-124.30683236572746,E,D,C,28.967464096697388,-128.4758575636396,C,196.39593159218697,0
China,78,51-65,F,E,D,D,-56.86922537129344,148.3225555533471,D,D,D,121.82795650021905,-108.97296801557748,A,147.10548001036918,0
Brazil,27,51-65,Other,C,D,E,193.9098115370095,55.47328867156379,C,B,D,-72.14190874132093,-169.30931146754713,D,229.94237332715585,0
UK,78,36-50,Other,D,C,C,-204.70537956815895,-74.9947336349982,B,A,D,20.944644651132894,-75.59444432583877,B,-80.71078419004597,1
India,74,51-65,M,C,C,E,-23.568368658181317,-9.71528421538119,C,E,C,27.566270819989324,20.30675398634788,C,210.585580777953,0
China,74,26-35,Non-binary,A,C,D,18.84855072657082,-81.09864473436811,E,A,C,-85.9000918608133,-37.67615114389316,B,38.58239118239172,1
Brazil,28,36-50,Non-binary,A,B,C,86.82988374714651,47.79098190719892,C,A,B,-4.870369700422002,-59.914004824171194,D,-59.18427950357085,0
UK,78,18-25,Other,A,E,C,-87.03026825450833,-117.22383886365901,E,E,D,15.310199886376703,-45.289362228716314,B,-0.8837857478422485,1
UK,37,36-50,M,E,E,D,67.28761570615126,-113.86131775588105,C,C,A,-89.10785514059071,118.81082980736093,D,95.87930861019785,1
US,33,51-65,Male,E,E,B,-93.20726475513717,-66.56896680826695,D,C,C,-134.82027127296385,152.4574644750506,E,105.6722465641007,1
Brazil,64,51-65,F,D,B,D,-115.76613201095734,148.2821120342024,D,D,E,-87.02633136607399,-60.5450426218916,A,-96.2441026642166,0
US,46,51-65,Other,B,A,D,-69.20117810474794,26.59667893313877,B,E,C,23.682820664416386,38.30785369032784,C,252.51426956524935,1
India,79,51-65,Male,C,A,B,-134.09280138032602,-28.958806091467228,A,B,C,-102.56737754805599,13.72060487738113,C,-14.603206484707762,1
UK,31,51-65,Male,C,E,A,205.88830898934236,-20.610287947897294,B,C,A,-119.50930555097119,-76.08755695657,D,82.03197789471346,1
China,53,36-50,M,A,D,E,-33.23584151952317,-45.421457685637094,B,B,A,133.4731469382193,-46.99682410959878,B,23.69960134098635,0
Mexico,54,18-25,F,B,B,D,20.439475849589677,39.83998907865209,B,D,D,61.62257234535331,28.128239562671947,D,-64.75841973359302,1
China,33,26-35,Male,A,E,B,61.81687108319704,-18.372900187169748,A,E,A,-43.97415648793153,-66.55803178013154,E,84.1219884098321,1
Mexico,21,65+,M,D,D,C,189.7566000775645,40.67775989042658,C,A,A,109.98970237818509,32.42546838892326,A,39.00659033089885,0
Other,19,18-25,Other,B,B,E,-179.66095894903702,100.18765566331611,B,C,D,154.26521413999524,4.633823242373908,E,-21.752208274884772,1
Other,67,18-25,Other,E,E,B,-10.350465047288267,-37.27709395843236,C,E,A,-123.02427080966902,-58.82538459980209,C,-97.99491462612937,0
Other,70,65+,Non-binary,D,B,C,-16.404402860973292,-151.80699675229937,D,A,C,204.1845804893025,69.271915134335,D,53.20608516096457,1
UK,54,51-65,Non-binary,A,D,E,22.913839216663394,49.2661110750791,B,A,D,-110.99550046493675,106.47356874844358,B,12.94673602461983,0
Germany,60,18-25,Other,C,E,E,-28.306659140640512,-229.81562794717462,B,C,E,-230.487634709406,-188.11778232722074,A,-30.454252327493286,0
UK,56,18-25,Non-binary,B,C,B,-21.229969384809095,22.189735722354627,B,E,B,97.42302017104207,-45.54183582203706,A,69.97096254172482,0
China,20,18-25,F,D,B,A,56.18675194456797,-130.31393892810726,B,C,E,172.11236659525247,-13.313712603465333,A,-16.337941493559992,0
Other,27,26-35,F,C,B,B,149.7062922818979,190.7004419688472,D,A,C,-75.64502992359351,-67.965507305969,A,-94.24158992924251,1
Brazil,27,18-25,Male,D,C,C,-77.4047883664418,49.33812118234794,A,B,A,-25.70422195253724,-4.2136485646247435,E,-30.01394002537456,0
India,77,36-50,Non-binary,B,D,B,29.718139155071622,44.970667336084965,E,E,C,6.965716554910492,-2.5359514884067553,D,21.605096411861044,1
Other,46,36-50,F,A,B,D,-103.80155118814609,12.632545180724886,C,D,A,-134.7596466094645,-30.516010960007222,C,188.73237146195922,0
Brazil,39,18-25,Female,B,A,D,186.37303785763513,117.01731209123712,B,B,A,-5.089297081638715,-5.16370814846014,C,-146.633719229533,0
Other,71,18-25,Other,B,D,A,-16.759516516197653,229.73429054795557,E,C,E,-12.286593479720333,50.20346370370732,C,11.856688102575287,1
Brazil,45,65+,Other,E,A,B,160.22856287282534,98.25285876369632,D,B,B,-96.50042739004697,148.19681705759461,C,-197.43237209632628,1
Germany,25,65+,Male,D,D,C,47.079857022897244,56.91170831032962,A,C,E,-43.94535140396004,-70.14831075814463,E,34.72555353355064,1
India,53,51-65,Female,D,A,D,-24.954228732374858,-173.9524985757917,E,A,A,53.11304499176535,-64.20862482743905,B,-81.4545013291824,0
Mexico,43,26-35,M,A,D,B,-150.34654367821994,14.759709897683363,A,A,C,111.41224499413367,21.73841111093486,C,-24.637317976817467,0
UK,65,18-25,F,E,A,C,-175.48248366180823,-165.00902331381323,C,E,B,39.8647167073368,138.70073696588875,C,-53.9338731668301,1
Mexico,72,18-25,F,D,C,C,123.70498213046908,-45.11761690898708,E,A,D,-91.46583932865153,53.551779915051455,C,25.15985907105159,0
Mexico,22,36-50,M,B,D,B,21.52225471418631,-45.909545949323736,B,A,A,69.49462414101069,-214.248183683655,C,90.19628629146062,1
US,75,36-50,Non-binary,C,D,E,-34.02329638140887,16.56238281669122,D,A,A,-18.927116341530155,-34.39769213631811,C,-109.15764354466795,1
UK,26,51-65,Female,D,B,C,6.185575524580925,154.06958387910493,D,E,C,-12.911165597804834,14.3966793345812,C,100.35641176702894,1
Brazil,62,26-35,Other,A,E,B,71.76851585286394,19.76737837108857,C,B,E,-30.91118935190662,-33.282505143825375,D,128.79923346704535,0
